,Domain Ref,Availability
0,youtube.com,No
1,pornhub.com,No
2,instagram.com,No
3,jalistmjm.uk,Yes
4,amazon.com,No
5,pinterest.com,No
6,xnxx.com,No
7,fandom.com,No
8,imdb.com,No
9,minosakino.com,Yes
10,globo.com,No
11,microsoft.com,No
12,indeed.com,No
13,ikea.com,No
14,msn.com,No
15,smallpdf.com,No
16,spotify.com,No
17,playstation.com,No
18,nytimes.com,No
19,epicgames.com,No
20,theguardian.com,No
21,yahoo.com,No
22,uptodown.com,No
23,foxnews.com,No
24,sites.google.com,No
25,finance.yahoo.com,No
26,office.com,No
27,naver.com,No
28,gsmarena.com,No
29,cnet.com,No
30,investing.com,No
31,ndtv.com,No
32,chrome.google.com,No
33,as.com,No
34,softonic.com,No
35,techradar.com,No
36,businessinsider.com,No
37,ea.com,No
38,cnbc.com,No
39,tistory.com,No
40,mynet.com,No
41,ign.com,No
42,medium.com,No
43,wowhead.com,No
44,hp.com,No
45,pantip.com,No
46,forbes.com,No
47,wordreference.com,No
48,eksisozluk.com,No
49,thefreedictionary.com,No
